Name,Province,Climate ID,Station ID,WMO ID,TC ID,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Latitude,Longitude,Elevation (m),First Year,Last Year,HLY First Year,HLY Last Year,DLY First Year,DLY Last Year,MLY First Year,MLY Last Year,Ottawa_Dist,Toronto_Dist,Calgary_Dist
CROSSFIELD,ALBERTA,3021950,2070,,,51.42,-114.17,512500000,-1141000000,1127.8,1961,1981,,,1961.0,1981.0,1961.0,1981.0,2889.3375468673685,2722.744380344825,41.57440351425812
AIRDRIE,ALBERTA,3030060,2181,,,51.32,-113.88,511900000,-1135300000,1082.0,1961,1963,,,1961.0,1963.0,1961.0,1963.0,2869.5277144015813,2701.718900029253,33.28011376266417
BLACK DIAMOND,ALBERTA,3030680,47747,71982.0,PBD,50.71,-114.15,504224008,-1140906002,1156.0,2008,2019,2008.0,2019.0,2008.0,2019.0,,,2891.5891678541147,2716.0692311462217,38.10896718743638
BOWNESS,ALBERTA,3030775,2191,,,51.12,-114.22,510700000,-1141300000,1036.3,1959,1959,,,1959.0,1959.0,1959.0,1959.0,2894.1376631065027,2723.7510272716754,12.229055355563672
BRAGG CREEK WEST,ALBERTA,3030796,2192,,,50.97,-114.62,505800000,-1143700000,1371.9,1975,1985,,,1975.0,1985.0,1975.0,1985.0,2922.9915831212556,2750.7118309659722,38.570916357078346
BLACKIE,ALBERTA,3030GAA,2176,,,50.73,-113.6,504400000,-1133600000,1066.8,1970,1972,,,1970.0,1972.0,1970.0,1972.0,2852.6850419523225,2677.4224280134954,49.33678865883097
BLACKIE NORTH,ALBERTA,3030GJ1,2178,,,50.77,-113.67,504600000,-1134000000,1066.8,1972,1977,,,1972.0,1977.0,1972.0,1977.0,2857.391614486174,2682.6314382564974,42.71021645476244
BLACKIE NW,ALBERTA,3030PAJ,2179,,,50.77,-113.77,504600000,-1134600000,1066.8,1977,1977,,,1977.0,1977.0,1977.0,1977.0,2864.43671333103,2689.6722439643218,38.24613203943875
CALGARY ROSSCARROCK,ALBERTA,3031075,45847,,,51.04,-114.15,510217000,-1140906000,1148.0,2004,2012,,,2004.0,2012.0,2004.0,2007.0,2889.6470271557287,2718.2603597478,4.675391186609397
CALGARY MARLBOROUGH,ALBERTA,3031076,45867,,,51.06,-113.99,510345000,-1135915000,1088.0,2004,2012,,,2004.0,2012.0,2004.0,2007.0,2878.3376064026643,2707.2168826512248,6.7712053291050465
