Name,Province,Climate ID,Station ID,WMO ID,TC ID,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Latitude,Longitude,Elevation (m),First Year,Last Year,HLY First Year,HLY Last Year,DLY First Year,DLY Last Year,MLY First Year,MLY Last Year,Ottawa_Dist,Toronto_Dist,Calgary_Dist
ALMONTE,ONTARIO,6100226,4221,,,45.18,-76.23,451100000,-761400000,125.0,1912,1980,,,1912.0,1980.0,1912.0,1980.0,48.80332779373404,302.52262072708794,2859.4145955464573
APPLETON,ONTARIO,6100285,6901,,,45.19,-76.11,451109024,-760646098,133.0,1992,2018,,,1992.0,2018.0,1992.0,2006.0,40.39739718043545,311.1524976315978,2867.322092795357
ASHTON,ONTARIO,6100353,4226,,,45.2,-75.97,451200000,-755800000,136.9,1956,1956,,,1956.0,1956.0,1956.0,1956.0,31.51349614473082,321.19495826668157,2876.6308771431272
ASHTON STN SESIA FARM,ONTARIO,6100363,4227,,,45.17,-76.07,451000000,-760400000,137.2,1959,1973,,,1959.0,1973.0,1959.0,1973.0,39.420022926940476,312.72475291055986,2871.1316806672116
BELLS CORNERS,ONTARIO,6100722,6952,,,45.33,-75.82,452000000,-754900000,75.0,1991,1991,,,1991.0,1991.0,1991.0,1991.0,12.939159704507698,338.6773378427357,2880.6340059850136
BOURGET,ONTARIO,6100828,4234,,,45.47,-75.17,452800000,-751000000,65.5,1950,1951,,,1950.0,1951.0,1950.0,1951.0,42.0004179056947,390.5607676080263,2919.2060682553256
CARLETON PLACE,ONTARIO,6101249,4239,,,45.15,-76.17,450900000,-761000000,136.9,1948,1976,,,1948.0,1976.0,1948.0,1976.0,46.84939724167478,304.8230248557489,2865.130407385097
CARLETON PLACE,ONTARIO,6101250,4240,,,45.15,-76.2,450900000,-761200000,145.0,1984,1999,,,1984.0,1999.0,1984.0,1999.0,48.723823521318096,302.79833523257736,2863.0277183731355
CARP,ONTARIO,6101260,4241,,,45.3,-75.98,451800000,-755900000,114.3,1960,1975,,,1960.0,1975.0,1960.0,1975.0,25.11643355625158,326.23311813908754,2870.920372173818
CHATS FALLS,ONTARIO,6101440,4244,,,45.47,-76.23,452800000,-761400000,93.9,1950,1992,,,1950.0,1992.0,1950.0,1992.0,42.000417905695684,320.67841474303293,2844.9628027383856
CITY VIEW,ONTARIO,6101521,4248,,,45.35,-75.73,452100000,-754400000,88.4,1953,1960,,,1953.0,1960.0,1953.0,1960.0,7.070225708053495,345.8723687661793,2885.942686939676
CUMBERLAND,ONTARIO,6101935,4261,,,45.5,-75.45,453000000,-752700000,91.4,1973,1980,,,1973.0,1980.0,1973.0,1980.0,21.964824894270198,373.2341338923654,2898.1170440498345
DUNROBIN,ONTARIO,6102150,4271,,,45.43,-76.03,452600000,-760200000,65.5,1990,1991,,,1990.0,1991.0,1990.0,1991.0,25.92411290764073,330.8336865682681,2860.952562085292
FITZROY HARBOUR,ONTARIO,6102417,4274,,,45.47,-76.22,452800000,-761300000,74.1,1870,1906,,,1870.0,1906.0,1870.0,1906.0,41.22812343227933,321.30578430890364,2845.663422131194
GLOUCESTER DESJARDINS,ONTARIO,6102839,4280,,,45.33,-75.5,452000000,-753000000,76.2,1975,1977,,,1975.0,1977.0,1975.0,1977.0,18.014541085899037,360.4240709345654,2903.051810688237
GLOUCESTER KETTLES,ONTARIO,6102840,4281,,,45.35,-75.55,452100000,-753300000,76.2,1975,1982,,,1975.0,1982.0,1975.0,1982.0,13.509113239365394,358.08091315565633,2898.5521732096627
GLOUCESTER RCN,ONTARIO,6102841,4282,,,45.3,-75.52,451800000,-753100000,80.8,1954,1954,,,1954.0,1954.0,1954.0,1954.0,18.665315729855728,357.45068410065124,2903.148956057596
GLOUCESTER TINKER,ONTARIO,6102842,4283,,,45.35,-75.47,452100000,-752800000,76.2,1975,1976,,,1975.0,1976.0,1975.0,1976.0,19.209081845832277,363.5558702822993,2904.1559757720843
KEMPTVILLE,ONTARIO,6104025,4291,,,45.0,-75.63,450000000,-753800000,99.4,1928,1997,,,1928.0,1997.0,1928.0,1997.0,45.89635121483753,334.8937380979437,2910.5761986236826
KEMPTVILLE CS,ONTARIO,6104027,27534,71300.0,XKE,45.0,-75.63,450000000,-753800000,99.4,1997,2019,2001.0,2019.0,1997.0,2019.0,1997.0,2006.0,45.89635121483753,334.8937380979437,2910.5761986236826
LEONARD,ONTARIO,6104400,4306,,,45.38,-75.32,452300000,-751900000,76.2,1960,1962,,,1960.0,1962.0,1960.0,1962.0,29.941410178436236,375.4687203414262,2913.1682745001135
MANOTICK,ONTARIO,6104931,4313,,,45.23,-75.68,451400000,-754100000,86.9,1953,1956,,,1953.0,1956.0,1953.0,1956.0,20.066212500382303,342.70411561618346,2895.445403405085
MANOTICK,ONTARIO,6104932,4314,,,45.23,-75.7,451400000,-754200000,83.8,1975,1986,,,1975.0,1986.0,1975.0,1986.0,20.004845593853382,341.3236665323878,2894.044060870051
MERIVALE CDA,ONTARIO,6105061,4316,,,45.3,-75.73,451800000,-754400000,89.9,1972,1977,,,1972.0,1977.0,1972.0,1977.0,12.449216077676814,343.06826442908397,2888.436869357151
METCALFE OSGOODE,ONTARIO,6105066,4317,,,45.23,-75.47,451400000,-752800000,83.8,1968,1976,,,1968.0,1976.0,1968.0,1976.0,26.93327417937456,357.3042931360585,2910.1586316944267
NAVAN,ONTARIO,6105576,4322,,,45.43,-75.52,452600000,-753100000,76.2,1973,1974,,,1973.0,1974.0,1973.0,1974.0,14.26263152447292,364.5536932970865,2896.677526182415
