Name,Province,Climate ID,Station ID,WMO ID,TC ID,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Latitude,Longitude,Elevation (m),First Year,Last Year,HLY First Year,HLY Last Year,DLY First Year,DLY Last Year,MLY First Year,MLY Last Year,Ottawa_Dist,Toronto_Dist,Calgary_Dist
TOTTENHAM,ONTARIO,6118848,4521,,,44.03,-79.82,440200000,-794900000,250.9,1971,1979,,,1971.0,1979.0,1971.0,1979.0,360.5956226970298,48.768307189369594,2667.770610975859
TOTTENHAM PEARSON,ONTARIO,6118849,4522,,,44.02,-79.8,440100000,-794800000,259.1,1973,1978,,,1973.0,1978.0,1973.0,1978.0,359.6633834058345,46.87695006948265,2669.712343381095
ACTON BEARDMORE,ONTARIO,6150039,4849,,,43.63,-80.03,433800000,-800200000,320.0,1966,1967,,,1966.0,1967.0,1966.0,1967.0,396.9430934508179,49.81101991272944,2675.0231390959752
ALBION,ONTARIO,6150100,4850,,,43.93,-79.83,435600000,-795000000,274.3,1956,2000,,,1956.0,2000.0,1956.0,2000.0,366.41438605130855,41.727230724618515,2672.505151732885
ALBION FIELD CENTRE,ONTARIO,6150103,4851,,,43.92,-79.83,435500000,-795000000,281.9,1969,2001,,,1969.0,2001.0,1969.0,2001.0,366.93915157857043,41.058369475679946,2673.050409120689
ALLOA,ONTARIO,6150224,4853,,,43.72,-79.87,434300000,-795200000,262.1,1951,1954,,,1951.0,1954.0,1951.0,1954.0,380.72660156679666,36.33608748198948,2681.2269846435115
AURORA,ONTARIO,6150395,4855,,,43.95,-79.4,435700000,-792400000,270.1,1883,1919,,,1883.0,1919.0,1883.0,1919.0,335.17976564867513,27.82375820972243,2701.511680723308
AURORA MOE,ONTARIO,6150396,4856,,,44.02,-79.47,440100000,-792800000,259.1,1980,1984,,,1980.0,1984.0,1980.0,1984.0,336.2461539247401,35.781547276105954,2692.812532161291
AURORA PAYMENT,ONTARIO,6150397,4857,,,43.98,-79.47,435900000,-792800000,281.9,1971,1975,,,1971.0,1975.0,1971.0,1975.0,338.40026477296766,31.36933870798143,2694.981420873307
AURORA NE,ONTARIO,6150398,41803,,,44.02,-79.45,440100000,-792700000,260.0,2003,2009,,,2003.0,2009.0,2003.0,2006.0,334.83983343948574,35.6367503216885,2694.212756660701
BALLANTRAE,ONTARIO,6150460,4858,,,44.05,-79.3,440300000,-791800000,327.7,1979,1992,,,1979.0,1992.0,1979.0,1992.0,322.7063010864027,40.06661388702647,2703.0926751169236
BOLTON SPS,ONTARIO,6150825,4864,,,43.88,-79.73,435300000,-794400000,213.1,1978,1992,,,1978.0,1992.0,1978.0,1992.0,362.044372360441,31.977348703511154,2682.231544300368
BRADFORD,ONTARIO,6150857,4867,,,44.1,-79.5,440600000,-793000000,220.7,1951,1957,,,1951.0,1957.0,1951.0,1957.0,334.21022185965325,44.90644176893978,2686.389855102927
BRADFORD 2,ONTARIO,6150858,4868,,,44.12,-79.53,440700000,-793200000,221.0,1954,1958,,,1954.0,1958.0,1954.0,1958.0,335.3468751363069,47.495546365679,2683.2118789224105
BRADFORD HIGH SCHOOL,ONTARIO,6150860,4869,,,44.12,-79.5,440700000,-793000000,251.5,1960,1962,,,1960.0,1962.0,1960.0,1962.0,333.2020827094543,47.10677674509456,2685.3125497077654
BRADFORD MUCK RESEARCH,ONTARIO,6150863,4870,,,44.03,-79.6,440200000,-793600000,221.0,1974,1998,,,1974.0,1998.0,1974.0,1998.0,344.9057720894343,39.4180309227017,2683.1700577649362
BRADFORD OAC,ONTARIO,6150865,4871,,,44.1,-79.6,440600000,-793600000,243.8,1960,1966,,,1960.0,1966.0,1960.0,1966.0,341.3525922566848,46.737635075266496,2679.388099169841
BRADFORD ODA,ONTARIO,6150866,4872,,,44.12,-79.55,440700000,-793300000,221.0,1966,1968,,,1966.0,1968.0,1966.0,1967.0,336.77844174297354,47.82047988525444,2681.8114596437836
